SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1,Team-name
MATCHES PLAYED,122,17,23,24,14,16,14,14,bengal-warriors
WINS,53,10,12,11,3,9,4,4,bengal-warriors
DRAWS,15,3,2,6,2,0,1,1,bengal-warriors
LOSSES,54,4,9,7,9,7,9,9,bengal-warriors
FINISHING POSITION,0,2,2,1,8,4,6,7,bengal-warriors
TOTAL RAIDS,5183,696,963,1079,602,702,595,546,bengal-warriors
SUCCESSFUL RAIDS,1725,279,340,379,167,213,134,213,bengal-warriors
UNSUCCESSFUL RAID,1127,137,201,223,125,144,151,146,bengal-warriors
EMPTY RAIDS,2331,280,422,477,310,345,310,187,bengal-warriors
SUCCESS RAID %,0.42,0.5,0.45,0.42,0.34,0.36,0.31,0.52,bengal-warriors
NO. OF SUPER RAIDS,68,13,16,11,4,4,9,11,bengal-warriors
RAID TOUCH POINTS,1684,281,341,333,154,204,151,220,bengal-warriors
RAID BONUS POINTS,474,67,95,122,48,46,33,63,bengal-warriors
TOTAL RAID POINTS,2158,348,436,455,202,250,184,283,bengal-warriors
TOTAL TACKLES,2757,394,508,521,318,329,306,381,bengal-warriors
SUCCESSFUL TACKLES,999,156,186,181,117,137,116,106,bengal-warriors
UNSUCCESFUL TACKLES,1758,238,322,340,201,192,190,275,bengal-warriors
SUCCESSFUL TACKLE %,0.4,0.42,0.39,0.37,0.39,0.46,0.44,0.32,bengal-warriors
NO. OF SUPER TACKLES,98,12,16,12,8,13,21,16,bengal-warriors
ALL OUTS INFLICTED,126,27,23,27,11,17,10,11,bengal-warriors
TOTAL ALL OUT POINTS,252,54,46,54,22,34,20,22,bengal-warriors
TOTAL DEFENCE POINTS,1092,166,200,193,125,150,136,122,bengal-warriors
