SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,Team-name
MATCHES PLAYED,62,18,22,22,gujarat-fortunegiants
WINS,14,3,5,6,gujarat-fortunegiants
DRAWS,9,3,4,2,gujarat-fortunegiants
LOSSES,39,12,13,14,gujarat-fortunegiants
FINISHING POSITION,0,12,6,6,gujarat-fortunegiants
TOTAL RAIDS,2697,750,925,1022,gujarat-fortunegiants
SUCCESSFUL RAIDS,943,248,344,351,gujarat-fortunegiants
UNSUCCESSFUL RAID,623,194,222,207,gujarat-fortunegiants
EMPTY RAIDS,1131,308,359,464,gujarat-fortunegiants
SUCCESS RAID %,0.42,0.42,0.45,0.4,gujarat-fortunegiants
NO. OF SUPER RAIDS,16,4,7,5,gujarat-fortunegiants
RAID TOUCH POINTS,862,239,314,309,gujarat-fortunegiants
RAID BONUS POINTS,280,74,105,101,gujarat-fortunegiants
TOTAL RAID POINTS,1142,313,419,410,gujarat-fortunegiants
TOTAL TACKLES,1415,400,498,517,gujarat-fortunegiants
SUCCESSFUL TACKLES,502,144,174,184,gujarat-fortunegiants
UNSUCCESFUL TACKLES,913,256,324,333,gujarat-fortunegiants
SUCCESSFUL TACKLE %,0.39,0.39,0.38,0.39,gujarat-fortunegiants
NO. OF SUPER TACKLES,45,13,15,17,gujarat-fortunegiants
ALL OUTS INFLICTED,52,13,20,19,gujarat-fortunegiants
TOTAL ALL OUT POINTS,104,26,40,38,gujarat-fortunegiants
TOTAL DEFENCE POINTS,545,155,189,201,gujarat-fortunegiants
